"gene","disease","metric_type","confidence_type","variant_type","metric","confidence","metric_code"
"DCM","LMNA","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","3.78","p<0.0001","XS"
"DCM","LMNA","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.86","0.81 - 0.90","EF"
"DCM","LMNA","Odds Ratio","95% confidence intervals for OR","All_Vars","7.35","5.24 - 10.11","OR"
"DCM","MYH7","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","3.93","p<0.0001","XS"
"DCM","MYH7","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.75","0.67 - 0.80","EF"
"DCM","MYH7","Odds Ratio","95% confidence intervals for OR","All_Vars","3.97","3.04 - 5.10","OR"
"DCM","TNNT2","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","2.63","p<0.0001","XS"
"DCM","TNNT2","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.92","0.88 - 0.94","EF"
"DCM","TNNT2","Odds Ratio","95% confidence intervals for OR","All_Vars","12.16","8.15 - 17.75","OR"
"DCM","VCL","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","1.19","p=0.0111","XS"
"DCM","VCL","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.54","0.13 - 0.74","EF"
"DCM","VCL","Odds Ratio","95% confidence intervals for OR","All_Vars","2.19","1.15 - 3.81","OR"
"DCM","PLN","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","0.32","p=0.0027","XS"
"DCM","PLN","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.87","0.49 - 0.95","EF"
"DCM","PLN","Odds Ratio","95% confidence intervals for OR","All_Vars","7.64","1.95 - 21.81","OR"
"DCM","DSP","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","4.35","p<0.0001","XS"
"DCM","DSP","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.60","0.40 - 0.72","EF"
"DCM","DSP","Odds Ratio","95% confidence intervals for OR","All_Vars","2.49","1.68 - 3.59","OR"
"HCM","ACTC1","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","0.46","p<0.0001","XS"
"HCM","ACTC1","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.88","0.78 - 0.93","EF"
"HCM","ACTC1","Odds Ratio","95% confidence intervals for OR","All_Vars","8.15","4.60 - 14.11","OR"
"HCM","MYBPC3","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","17.06","p<0.0001","XS"
"HCM","MYBPC3","Etiological Fraction","95% confidence intervals for EF","All_Vars","0.91","0.91 - 0.92","EF"
"HCM","MYBPC3","Odds Ratio","95% confidence intervals for OR","All_Vars","11.70","10.67 - 12.82","OR"
"HCM","MYH7","Excess in Disease","Fisher's exact test p-values are displayed for case excess","All_Vars","12.82","p<0.0001","XS"
